Ngày,Loại,Hạng mục,Diễn giải,Số tiền,Người thực hiện,Đối tượng,Dạng đối tượng,Tài khoản,Tài khoản liên quan,Mã giao dịch,Chứng từ
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Râu bạch tuộc + Bạch tuộc tako,3.866.724,Trang,CT TNHH NGUYÊN PHƯƠNG,NPP,TK KN,,20251010-030,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Tako mix,7.800.000,Trang,MR TRIỆT - TÂY NINH,KL,TK KN,,20251010-031,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Vẹm Xanh Tách Vỏ ( PE),3.440.000,Trang,CT TNHH SƠN MAI VỊ BIỂN (MR NGỌC-NHA TRANG),NPP,TK KN,,20251010-032,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng phí vận chuyển + Bạch tuộc tako + tuna saku,14.427.500,Trang,NH BABABA-PHÚ QUỐC,NH,TK KN,,20251010-033,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Mực Nang 500-800 + Tuna loin 3-5 + tuna saku + Chả cá + Sò Lông Nửa Mảnh + Tuna Saku 3A,66.648.100,Trang,CT TNHH MTV ĐẠT PHÚ NGUYÊN,NPP,TK KN,,20251010-034,
10/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Nhum nguyên con (đvt: con),4.800.000,Trang,NCC NHUM ĐEN - NGUYỄN THỊ PHÚC,NCC,TK Nợ NCC,,20251010-035,
10/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Loin kiếm + Loin kiếm,20.020.000,Trang,CT DƯƠNG TUẤN PHÁT - TAM QUAN (THÚY),NCC,TK Nợ NCC,,20251010-036,
10/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi size 1.5-2kg + Bạch tuộc tươi size 1up + Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi,10.204.600,Trang,NCC BT - ANH TỚI - PHÚ QUÝ,NCC,TK Nợ NCC,,20251010-037,
10/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi,65.069.000,Trang,NCC BÉ TÂN - VĨNH LƯƠNG,NCC,TK Nợ NCC,,20251010-038,
10/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Nhum nguyên liệu (đvt: con) + Bạch tuộc tươi,12.510.000,Trang,NCC KIM DUNG - NINH HÒA,NCC,TK Nợ NCC,,20251010-039,
09/10/2025,Thu,Doanh thu Bán hàng,CONG TY TNHH DAU TU NTP TT CA NGU 2 509 (anh Tình tt công nợ),1.774.710,Trang,CT TNHH ĐT NGỌC THỊNH PHÁT (MR TÌNH),NH,TCB CTY,,20251009-001,
09/10/2025,Chi,Chi phí khác,Mua đồ đơm,70.000,Trang,Khác,Khác,Tiền mặt,,20251009-002,
09/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 1 thùng nhum Quanh Bùi  gửi (500 con),50.000,Trang,Khác,Khác,Tiền mặt,,20251009-003,
09/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 2 thùng nhum nguyên con chị Phúc Bình Thuận về (1600 con),250.000,Trang,Khác,Khác,Tiền mặt,,20251009-004,
09/10/2025,Chi,Vận chuyển,Gửi 6 thùng cho DPN,600.000,Trang,Khác,Khác,Tiền mặt,,20251009-005,
09/10/2025,Chi,Vận chuyển,Gửi 2 thùng cho VietArt,200.000,Trang,Khác,Khác,Tiền mặt,,20251009-006,
09/10/2025,Chi,Vận chuyển,Tiền xe a Bình chuyển 2 chuyến Ốc từ xưởng lên gửi kho chị Minh,400.000,Trang,Khác,Khác,Tiền mặt,,20251009-007,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku XK,8.476.650,Trang,GOFOOD-SG (CT TNHH FBC SÀI GÒN),NH,TK KN,,20251009-008,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Nhum vụn + Lườn tuna + Trứng Nhum AA 200g/khay + Tuna Saku A,21.740.000,Trang,CT TNHH PGF ASIA- HN,NPP,TK KN,,20251009-009,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku A + Mực Ống,990.000,Trang,NH UNI SUSHI,NH,TK KN,,20251009-010,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng phí vận chuyển + Trứng Nhum AA 200g/khay,1.470.000,Trang,MR BÙI DANH - SG,KL,TK KN,,20251009-011,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Loin lườn kiếm,2.384.340,Trang,CT LÊ GiA (MINORI CS2),NH,TK KN,,20251009-012,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Trứng Nhum AA 200g/khay,1.400.000,Trang,CT MOO JIN (MS HỒNG ÁNH - SG),KL,TK KN,,20251009-013,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna đầu đuôi portion,17.550.000,Trang,CT TNHH SX-TM THIÊN ÂN PHÁT (MR ĐỖ XUÂN-NT),KL,TK KN,,20251009-014,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku XK,666.600,Trang,MR THÁI - HN,KL,TK KN,,20251009-015,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako + Bạch tuộc tako slice (160 gram/khay),12.976.000,Trang,CT TNHH MEAT AND FISH,NPP,TK KN,,20251009-016,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Trứng Nhum AA 200g/khay,22.320.000,Trang,CT TNHH MTV SHIZEN FOOD,NPP,TK KN,,20251009-017,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng tuna saku + Cá Cờ Kiếm Saku,35.509.000,Trang,CT TNHH VIETART F&B,NH,TK KN,,20251009-018,
09/10/2025,KN,Doanh thu bán hàng,Giao hàng Kiếm steak + chả cá hấp + Chả cá,26.645.000,Trang,CT TNHH MTV ĐẠT PHÚ NGUYÊN,NPP,TK KN,,20251009-019,
09/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi + Nhum nguyên liệu (đvt: con),9.660.000,Trang,NCC KIM DUNG - NINH HÒA,NCC,TK Nợ NCC,,20251009-020,
09/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi,30.553.500,Trang,NCC BÉ TÂN - VĨNH LƯƠNG,NCC,TK Nợ NCC,,20251009-021,
09/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi size 1up + Bạch tuộc tươi,10.455.800,Trang,NCC BT - ANH TỚI - PHÚ QUÝ,NCC,TK Nợ NCC,,20251009-022,
09/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Nhum nguyên con (đvt: con),1.760.500,Trang,NCC NHUM ĐEN - QUANH BÙI,NCC,TK Nợ NCC,,20251009-023,
09/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Nhum nguyên con (đvt: con),4.800.000,Trang,NCC NHUM ĐEN - NGUYỄN THỊ PHÚC,NCC,TK Nợ NCC,,20251009-024,
09/10/2025,Thu,Doanh thu Bán hàng,Anh Bùi Danh thanh toán công nợ,1.470.000,Trang,MR BÙI DANH - SG,KL,TK Dung,,20251009-025,
08/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako,9.450.000,Trang,CT TNHH GINKAKU ( MS THIÊN TRANG),NH,TK KN,,20251008-001,
08/10/2025,Thu,Chuyển nội bộ,Rút tiền tk công ty,100.000.000,Trang,Nội Bộ,Nội Bộ,Tiền mặt,,20251008-002,
08/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ chị Kim Loan bt ,15.330.000,Trang,NCC NHUM - KIM LOAN - NINH THUẬN,NCC,Tiền mặt,,20251008-003,
08/10/2025,Chi,Chi phí nguyên vật liệu,Phí gửi tiền chị Kim Loan,22.000,Trang,Techcombank,Ngân hàng,Tiền mặt,,20251008-004,
08/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ chị Đỗ Thị Ánh,31.000.000,Trang,NCC NHUM - ĐỖ THỊ ÁNH - PHÚ QUÝ,NCC,Tiền mặt,,20251008-005,
08/10/2025,Chi,Chi phí nguyên vật liệu,Phí gửi tiền chị Ánh,22.000,Trang,Techcombank,Ngân hàng,Tiền mặt,,20251008-006,
08/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ chị Nguyễn Thị PHúc,7.225.000,Trang,NCC NHUM ĐEN - NGUYỄN THỊ PHÚC,NCC,Tiền mặt,,20251008-007,
08/10/2025,Chi,Chi phí nguyên vật liệu,"TT công nợ chị Trang hòn xện (40,6kg*140k)",5.684.000,Trang,NCC CHỊ TRANG - HÒN XỆN,NCC,Tiền mặt,,20251008-008,
08/10/2025,Thu,Doanh thu Bán hàng,Newfresh thanh toán công nợ T8,9.750.000,Trang,CT TNHH NEW FRESH FOODS,NPP,Tiền mặt,,20251008-009,
08/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ chị Hoa,9.750.000,Trang,NCC CHỊ HOA - HÒN RỚ,NCC,Tiền mặt,,20251008-010,
08/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi,5.684.000,Trang,NCC CHỊ TRANG - HÒN XỆN,NCC,TK Nợ NCC,,20251008-011,
